('锦州晟开建筑工程安装有限公司', '002106211912117044')
('山东新世纪钢结构工程有限公司', '002105291240459908')
('中航万通（北京）装备科技有限公司', '002105291240538936')
('淮安市天虹建筑劳务有限公司', '002105291240463867')
('北京龙源天盛建筑装饰有限公司', '002105291328073019')
('北京腾飞祥泰建筑工程有限公司', '002105291258804165')
('北京信诚泉达建筑工程有限公司', '002105291258786766')
('四川通捷鸿建设工程有限公司', '002105291306901360')
('陕西梦溪笔谈建筑工程有限公司', '002207242013358393')
('浙江森海建设有限公司', '002105291241629093')
('苏州九上城建筑安装有限公司', '002105291329076530')
('中联天盛（北京）生态科技有限公司', '002107151911145495')
('贵州阔威建筑有限公司', '002108171909169111')
('安徽福瑞华隆建筑劳务分包有限公司', '002105291241567085')
('辽宁富港建设有限公司', '002105291240535482')
('北京华施建设有限公司', '002105291255775780')
('江西中东建设工程有限公司', '002105291259828162')
('东港市博润建筑工程有限公司', '002105291240484952')
('北京卓匠建筑工程有限公司', '002105291306891548')
('江苏朗润环保科技有限公司', '002105291254755859')
('中富宏茂（北京）建设有限公司', '002106111905110157')
('吉林省拓兴建设工程有限公司', '002206162012334831')
('北京盛地基业建设工程有限公司', '002105291239457325')
('北京元亨万利建筑工程有限公司', '002105291328043444')
('吉林省国鼎市政工程集团有限公司', '002105291306881660')
('内蒙古祥恒建筑安装工程有限公司', '002105291241626550')
('广西金晓净化科技有限公司', '002105291249707760')
('江苏航顺装饰设计工程有限公司', '002105291248690820')
('北京辰鉴建筑工程有限公司', '002105291328066859')
('华夏汉邦（北京）国际建筑防水工程有限公司', '002105291241572834')
('江西安佰旭建筑工程有限公司', '002105291255772888')
('北京渝天伟乐建筑有限公司', '002105291322982176')
('中明通达（北京）建筑工程有限公司', '002106151907112074')
('黑龙江天合水利工程有限公司', '002105291241624632')
('江西省湖城建设工程有限公司', '002105291241609713')
('上海京海工程技术有限公司', '002105291328041296')
('重庆硕鼎建筑劳务有限公司', '002108091918164949')
('绍兴蓝天净化设备工程有限公司', '002208152013371118')
('承迹庭林园林工程（北京）有限公司', '002105291335089847')
('福建祥岩建设有限公司', '002105291323016331')
('北京同方凌讯科技有限公司', '002107201914149395')
('克拉斯国际艺术（北京）有限公司', '002105291240489629')
('四川恒瑞清建设工程有限公司', '002105291255766974')
